dep_code,p_transf,p_orth,resources_mult,obj,n_patients,spi,qci
42,0.0,0,1,1402.179,707.505,0.921,1.918
42,0.1,0,1,1762.17,968.97,1.079,1.743
42,0.2,0,1,2065.662,1225.764,1.391,1.605
42,0.3,0,1,2236.687,1388.574,1.51,1.532
42,0.4,0,1,2236.687,1388.574,1.51,1.532
42,0.5,0,1,2236.687,1388.574,1.51,1.532
42,0.6,0,1,2236.687,1388.574,1.51,1.532
42,0.7,0,1,2236.687,1388.574,1.509,1.532
42,0.8,0,1,2236.687,1388.574,1.509,1.532
42,0.9,0,1,2236.687,1388.574,1.51,1.532
42,1.0,0,1,2236.687,1388.574,1.51,1.532
42,0.0,0.04,1,1453.312,740.829,0.984,1.887
42,0.1,0.04,1,1837.019,1024.475,1.041,1.714
42,0.2,0.04,1,2140.793,1291.168,1.396,1.575
42,0.3,0.04,1,2288.595,1428.537,1.524,1.52
42,0.4,0.04,1,2288.724,1428.537,1.536,1.52
42,0.5,0.04,1,2288.724,1428.537,1.521,1.52
42,0.6,0.04,1,2288.724,1428.537,1.537,1.52
42,0.7,0.04,1,2288.724,1428.537,1.534,1.52
42,0.8,0.04,1,2288.724,1428.537,1.53,1.52
42,0.9,0.04,1,2288.724,1428.537,1.539,1.52
42,1.0,0.04,1,2288.724,1428.537,1.541,1.52
42,0.0,0.08,1,1500.883,774.246,1.032,1.858
42,0.1,0.08,1,1908.351,1081.21,1.056,1.683
42,0.2,0.08,1,2216.425,1357.053,1.406,1.548
42,0.3,0.08,1,2338.694,1469.696,1.523,1.506
42,0.4,0.08,1,2339.119,1469.696,1.552,1.506
42,0.5,0.08,1,2339.119,1469.696,1.554,1.506
42,0.6,0.08,1,2339.119,1469.696,1.561,1.506
42,0.7,0.08,1,2339.119,1469.696,1.549,1.506
42,0.8,0.08,1,2339.119,1469.696,1.571,1.506
42,0.9,0.08,1,2339.119,1469.696,1.578,1.506
42,1.0,0.08,1,2339.119,1469.696,1.581,1.506
42,0.0,0.12,1,1547.156,807.62,1.057,1.832
42,0.1,0.12,1,1973.581,1138.833,1.06,1.65
42,0.2,0.12,1,2292.002,1423.02,1.411,1.523
42,0.3,0.12,1,2388.228,1510.832,1.51,1.493
42,0.4,0.12,1,2388.681,1510.832,1.546,1.493
42,0.5,0.12,1,2388.681,1510.832,1.546,1.493
42,0.6,0.12,1,2388.681,1510.832,1.56,1.493
42,0.7,0.12,1,2388.681,1510.832,1.563,1.493
42,0.8,0.12,1,2388.681,1510.832,1.553,1.493
42,0.9,0.12,1,2388.681,1510.832,1.554,1.493
42,1.0,0.12,1,2388.681,1510.832,1.564,1.493
42,1,0,1.05,2347.744,1457.422,1.523,1.532
42,1,0,1.1,2459.636,1526.885,1.53,1.532
42,1,0,1.15,2571.591,1596.28,1.53,1.532
42,1,0,1.2,2683.539,1665.713,1.531,1.532
42,1,0,1.25,2795.588,1735.108,1.531,1.532
