p_transf,pathway,share
0.0,K03Z,0.001
0.0,T62A|B,0.001
0.0,K62A|B|C,0.0
0.0,B67A|B|C,0.003
0.0,B82A|B|C,0.002
0.0,J07A|B,0.004
0.0,H07A|B,0.0
0.0,B06A|B|C,0.001
0.0,B63Z,0.002
0.0,I66A|B,0.0
0.0,E69A|B,0.003
0.0,E40A|B,0.002
0.0,T40Z,0.002
0.0,E71A|B|C,0.004
0.0,C03Z,0.004
0.0,J69A|B|C,0.0
0.0,C14Z,0.004
0.0,U61A|B,0.005
0.0,K05A|B,0.001
0.0,D100Z,0.006
0.0,L61Z,0.025
0.0,B42A|B,0.002
0.0,K02A|B,0.001
0.0,D05Z,0.005
0.0,B02A|B|C,0.002
0.0,D64Z,0.0
0.0,K06A|B,0.0
0.0,C04Z,0.003
0.0,J13A|B,0.004
0.0,G11Z,0.003
0.0,D60A|B|C,0.0
0.0,I16Z,0.003
0.0,L02A|B,0.003
0.0,I10A|B,0.0
0.0,B07A|B,0.0
0.0,T63A|B,0.001
0.0,L05A|B,0.002
0.0,I13A|B|C,0.004
0.0,B69A|B,0.003
0.0,I73A|B,0.0
0.0,G70A|B|C,0.026
0.0,L04A|B|C,0.0
0.0,C13Z,0.004
0.0,E76A|B,0.003
0.0,I08A|B,0.002
0.0,I23Z,0.004
0.0,J08A|B|C,0.004
0.0,J60A|B|C,0.0
0.0,U68Z,0.006
0.0,F12A|B,0.0
0.0,T64A|B|C,0.002
0.0,H08A|B,0.0
0.0,D06Z,0.001
0.0,I72A|B,0.0
0.0,B64A|B,0.001
0.0,N62Z,0.014
0.0,G65A|B,0.02
0.0,N06Z,0.0
0.0,F43Z,0.0
0.0,R01A|B,0.001
0.0,X00X|B,0.041
0.0,F76A|B|C,0.002
0.0,I69A|B,0.0
0.0,D13Z,0.002
0.0,U66Z,0.0
0.0,U40Z,0.002
0.0,K01A|B,0.001
0.0,M61A|B,0.001
0.0,I32A|B,0.004
0.0,J68A|B|C,0.0
0.0,L65A|B,0.004
0.0,I75A|B,0.0
0.0,F11A|B,0.002
0.0,L64A|B|C,0.007
0.0,J10Z,0.003
0.0,M04Z,0.003
0.0,R62A|B,0.019
0.0,I76A|B,0.0
0.0,C62A|B,0.0
0.0,I63A|B,0.0
0.0,C10Z,0.001
0.0,U63A|B,0.008
0.0,F62A|B|C,0.01
0.0,F13A|B,0.001
0.0,I81Z,0.0
0.0,F21A|B,0.003
0.0,F05A|B,0.001
0.0,I24Z,0.004
0.0,U65Z,0.003
0.0,F66A|B,0.004
0.0,D12A|B,0.004
0.0,I79A|B,0.0
0.0,T01A|B|C,0.0
0.0,N11Z,0.001
0.0,L41Z,0.02
0.0,H64A|B|C,0.0
0.0,I30Z,0.003
0.0,F08A|B,0.003
0.0,B78A|B|C,0.001
0.0,R03A|B|C,0.001
0.0,I64A|B,0.0
0.0,N04A|B,0.0
0.0,F41A|B,0.0
0.0,B03A|B,0.003
0.0,B68A|B,0.002
0.0,F68Z,0.011
0.0,H63A|B|C,0.0
