dep_code,p_transf,p_orth,resources_mult,pathway,share
42,0.0,0,1,HC_HDJ,0.0
42,0.0,0,1,HC,0.081
42,0.0,0,1,DOM,0.917
42,0.0,0,1,HDJ,0.002
42,0.1,0,1,HC_HDJ,0.0
42,0.1,0,1,HC,0.237
42,0.1,0,1,DOM,0.724
42,0.1,0,1,HDJ,0.039
42,0.2,0,1,HC_HDJ,0.0
42,0.2,0,1,HC,0.376
42,0.2,0,1,DOM,0.586
42,0.2,0,1,HDJ,0.039
42,0.3,0,1,HC_HDJ,0.0
42,0.3,0,1,HC,0.454
42,0.3,0,1,DOM,0.517
42,0.3,0,1,HDJ,0.029
42,0.4,0,1,HC_HDJ,0.0
42,0.4,0,1,HC,0.454
42,0.4,0,1,DOM,0.517
42,0.4,0,1,HDJ,0.029
42,0.5,0,1,HC_HDJ,0.0
42,0.5,0,1,HC,0.454
42,0.5,0,1,DOM,0.517
42,0.5,0,1,HDJ,0.029
42,0.6,0,1,HC_HDJ,0.0
42,0.6,0,1,HC,0.454
42,0.6,0,1,DOM,0.517
42,0.6,0,1,HDJ,0.029
42,0.7,0,1,HC_HDJ,0.0
42,0.7,0,1,HC,0.454
42,0.7,0,1,DOM,0.517
42,0.7,0,1,HDJ,0.029
42,0.8,0,1,HC_HDJ,0.0
42,0.8,0,1,HC,0.454
42,0.8,0,1,DOM,0.517
42,0.8,0,1,HDJ,0.029
42,0.9,0,1,HC_HDJ,0.0
42,0.9,0,1,HC,0.454
42,0.9,0,1,DOM,0.517
42,0.9,0,1,HDJ,0.029
42,1.0,0,1,HC_HDJ,0.0
42,1.0,0,1,HC,0.454
42,1.0,0,1,DOM,0.517
42,1.0,0,1,HDJ,0.029
42,0.0,0.04,1,HC_HDJ,0.0
42,0.0,0.04,1,HC,0.112
42,0.0,0.04,1,DOM,0.885
42,0.0,0.04,1,HDJ,0.004
42,0.1,0.04,1,HC_HDJ,0.0
42,0.1,0.04,1,HC,0.266
42,0.1,0.04,1,DOM,0.695
42,0.1,0.04,1,HDJ,0.038
42,0.2,0.04,1,HC_HDJ,0.0
42,0.2,0.04,1,HC,0.406
42,0.2,0.04,1,DOM,0.556
42,0.2,0.04,1,HDJ,0.038
42,0.3,0.04,1,HC_HDJ,0.0
42,0.3,0.04,1,HC,0.463
42,0.3,0.04,1,DOM,0.503
42,0.3,0.04,1,HDJ,0.034
42,0.4,0.04,1,HC_HDJ,0.0
42,0.4,0.04,1,HC,0.463
42,0.4,0.04,1,DOM,0.503
42,0.4,0.04,1,HDJ,0.034
42,0.5,0.04,1,HC_HDJ,0.0
42,0.5,0.04,1,HC,0.463
42,0.5,0.04,1,DOM,0.503
42,0.5,0.04,1,HDJ,0.034
42,0.6,0.04,1,HC_HDJ,0.0
42,0.6,0.04,1,HC,0.463
