dep_code,p_transf,p_orth,resources_mult,resource,usage
42,0.0,0,1,CHIR/ORTHO,0.507
42,0.0,0,1,ANES,0.507
42,0.0,0,1,KINE_MCO,0.509
42,0.0,0,1,DAY_HC,0.091
42,0.0,0,1,KINE_DOM,1.0
42,0.0,0,1,KINE_SSR,0.033
42,0.0,0,1,finance,0.382
42,0.0,0,1,CSC,0.467
42,0.0,0,1,DERMA,0.572
42,0.0,0,1,ENDO,0.375
42,0.0,0,1,GASTRO,0.499
42,0.0,0,1,GYNECO,0.389
42,0.0,0,1,OPH,0.539
42,0.0,0,1,ORL,0.25
42,0.0,0,1,RHUMA,0.533
42,0.0,0,1,URO,0.309
42,0.1,0,1,CHIR/ORTHO,0.695
42,0.1,0,1,ANES,0.694
42,0.1,0,1,KINE_MCO,0.733
42,0.1,0,1,DAY_HC,0.365
42,0.1,0,1,KINE_DOM,1.0
42,0.1,0,1,KINE_SSR,1.0
42,0.1,0,1,finance,0.577
42,0.1,0,1,CSC,1.0
42,0.1,0,1,DERMA,1.0
42,0.1,0,1,ENDO,1.0
42,0.1,0,1,GASTRO,1.0
42,0.1,0,1,GYNECO,0.918
42,0.1,0,1,OPH,1.0
42,0.1,0,1,ORL,0.833
42,0.1,0,1,RHUMA,1.0
42,0.1,0,1,URO,0.882
42,0.2,0,1,CHIR/ORTHO,0.879
42,0.2,0,1,ANES,0.878
42,0.2,0,1,KINE_MCO,0.947
42,0.2,0,1,DAY_HC,0.688
42,0.2,0,1,KINE_DOM,1.0
42,0.2,0,1,KINE_SSR,1.0
42,0.2,0,1,finance,0.796
42,0.2,0,1,CSC,1.0
42,0.2,0,1,DERMA,1.0
42,0.2,0,1,ENDO,1.0
42,0.2,0,1,GASTRO,1.0
42,0.2,0,1,GYNECO,0.918
42,0.2,0,1,OPH,1.0
42,0.2,0,1,ORL,0.833
42,0.2,0,1,RHUMA,1.0
42,0.2,0,1,URO,0.882
42,0.3,0,1,CHIR/ORTHO,0.996
42,0.3,0,1,ANES,0.995
42,0.3,0,1,KINE_MCO,1.0
42,0.3,0,1,DAY_HC,1.0
42,0.3,0,1,KINE_DOM,1.0
42,0.3,0,1,KINE_SSR,1.0
42,0.3,0,1,finance,0.991
42,0.3,0,1,CSC,1.0
42,0.3,0,1,DERMA,1.0
42,0.3,0,1,ENDO,1.0
42,0.3,0,1,GASTRO,1.0
42,0.3,0,1,GYNECO,1.0
42,0.3,0,1,OPH,1.0
42,0.3,0,1,ORL,1.0
42,0.3,0,1,RHUMA,1.0
42,0.3,0,1,URO,1.0
42,0.4,0,1,CHIR/ORTHO,0.996
42,0.4,0,1,ANES,0.995
42,0.4,0,1,KINE_MCO,1.0
